/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 3187 at position 307 (collision #91)
🌟 COLLISION! Prime 3191 at position 311 (collision #92)
🌟 COLLISION! Prime 3203 at position 323 (collision #93)
🌟 COLLISION! Prime 3209 at position 329 (collision #94)
🌟 COLLISION! Prime 3217 at position 337 (collision #95)
🌟 COLLISION! Prime 3221 at position 341 (collision #96)
🌟 COLLISION! Prime 3229 at position 349 (collision #97)
🌟 COLLISION! Prime 3251 at position 11 (collision #98)
🌟 COLLISION! Prime 3253 at position 13 (collision #99)
🌟 COLLISION! Prime 3257 at position 17 (collision #100)
🌟 COLLISION! Prime 3259 at position 19 (collision #101)
🌟 COLLISION! Prime 3271 at position 31 (collision #102)
🌟 COLLISION! Prime 3299 at position 59 (collision #103)
🌟 COLLISION! Prime 3301 at position 61 (collision #104)
🌟 COLLISION! Prime 3307 at position 67 (collision #105)
🌟 COLLISION! Prime 3313 at position 73 (collision #106)
🌟 COLLISION! Prime 3319 at position 79 (collision #107)
🌟 COLLISION! Prime 3323 at position 83 (collision #108)
🌟 COLLISION! Prime 3329 at position 89 (collision #109)
🌟 COLLISION! Prime 3331 at position 91 (collision #110)
🌟 COLLISION! Prime 3343 at position 103 (collision #111)
🌟 COLLISION! Prime 3347 at position 107 (collision #112)
🌟 COLLISION! Prime 3359 at position 119 (collision #113)
🌟 COLLISION! Prime 3361 at position 121 (collision #114)
🌟 COLLISION! Prime 3371 at position 131 (collision #115)
🌟 COLLISION! Prime 3373 at position 133 (collision #116)
🌟 COLLISION! Prime 3389 at position 149 (collision #117)
🌟 COLLISION! Prime 3391 at position 151 (collision #118)
🌟 COLLISION! Prime 3407 at position 167 (collision #119)
🌟 COLLISION! Prime 3413 at position 173 (collision #120)
🌟 COLLISION! Prime 3433 at position 193 (collision #121)
🌟 COLLISION! Prime 3449 at position 209 (collision #122)
🌟 COLLISION! Prime 3457 at position 217 (collision #123)
