n,is_prime,was_skipped,z1_score,z4_score
46486,0,False,0.5323861461652959,2.1676801451637924
46487,0,False,0.47914753154876627,1.9509121306474129
46488,0,False,0.435588665044333,1.773556482406739
46489,1,False,0.3992896096239719,1.625760108872844
46490,0,True,4.884105435253138,19.773802922967025
46491,0,True,2.442052717626569,9.886901461483513
46492,0,True,1.6280351450843795,6.591267640989009
46493,0,False,1.2210263588132846,4.943450730741756
46494,0,False,0.9768210870506275,3.9547605845934046
46495,0,False,0.8140175725421898,3.2956338204945044
46496,0,False,0.6977293478933054,2.8248289889952893
46497,0,False,0.6105131794066423,2.471725365370878
46498,0,False,0.5426783816947931,2.197089213663003
46499,1,False,0.48841054352531377,1.9773802922967023
46500,0,True,3.763538099481086,16.60069940003328
46501,0,True,1.881769049740543,8.30034970001664
46502,0,False,1.2545126998270286,5.533566466677761
46503,0,False,0.9408845248702715,4.15017485000832
46504,0,False,0.7527076198962172,3.3201398800066566
46505,0,False,0.6272563499135143,2.7667832333388804
46506,0,False,0.5376482999258694,2.37152848571904
46507,1,False,0.47044226243513576,2.07508742500416
46508,0,True,1.6106187195131336,10.86165546583855
46509,0,False,0.8053093597565668,5.430827732919275
46510,0,False,0.5368729065043778,3.620551821946184
46511,1,False,0.4026546798782834,2.7154138664596377
46512,0,True,3.8531064315578227,16.85281767232418
46513,0,False,1.9265532157789114,8.42640883616209
46514,0,False,1.284368810519274,5.617605890774726
46515,0,False,0.9632766078894557,4.213204418081045
46516,0,False,0.7706212863115645,3.3705635344648357
46517,0,False,0.642184405259637,2.808802945387363
46518,0,False,0.5504437759368318,2.407545381760597
46519,0,False,0.48163830394472784,2.1066022090405223
46520,0,False,0.42812293683975805,1.8725352969249087
46521,0,False,0.38531064315578223,1.6852817672324178
46522,0,False,0.350282402868893,1.5320743338476528
46523,1,False,0.3210922026298185,1.4044014726936815
46524,0,True,3.9428145966037587,17.105794145916107
46525,0,True,1.9714072983018793,8.552897072958054
46526,0,False,1.3142715322012528,5.701931381972036
46527,0,False,0.9857036491509397,4.276448536479027
46528,0,False,0.7885629193207516,3.4211588291832213
46529,0,False,0.6571357661006264,2.850965690986018
46530,0,False,0.5632592280862513,2.4436848779880154
46531,0,False,0.49285182457546983,2.1382242682395134
46532,0,False,0.438090510733751,1.9006437939906788
46533,0,False,0.3942814596603758,1.7105794145916107
46534,0,False,0.3584376906003417,1.5550721950832824
46535,0,False,0.3285678830503132,1.425482845493009
46536,0,False,0.3032934305079814,1.3158303189166236
46537,0,False,0.28162961404312564,1.2218424389940077
46538,0,False,0.26285430644025054,1.1403862763944073
46539,0,False,0.24642591228773492,1.0691121341197567
46540,0,False,0.2319302703884564,1.0062231850538887
46541,0,False,0.2190452553668755,0.9503218969953394
46542,0,False,0.2075165577159873,0.9003049550482162
46543,0,False,0.1971407298301879,0.8552897072958053
46544,0,False,0.1877530760287504,0.8145616259960052
46545,0,False,0.17921884530017085,0.7775360975416412
46546,0,False,0.17142672159146777,0.7437301802572222
46547,0,False,0.1642839415251566,0.7127414227465045
46548,0,False,0.15771258386415035,0.6842317658366444
46549,1,False,0.1516467152539907,0.6579151594583118
46550,0,True,5.34771646162055,21.101962799828023
46551,0,True,2.673858230810275,10.550981399914011
46552,0,True,1.7825721538735166,7.033987599942675
46553,0,False,1.3369291154051375,5.275490699957006
46554,0,False,1.0695432923241102,4.220392559965605
46555,0,False,0.8912860769367583,3.5169937999713374
46556,0,False,0.7639594945172214,3.014566114261146
46557,0,False,0.6684645577025687,2.637745349978503
46558,0,False,0.594190717957839,2.344662533314225
46559,1,False,0.5347716461620551,2.1101962799828025
46560,0,True,4.212662971612748,17.869276423952222
46561,0,True,2.106331485806374,8.934638211976111
46562,0,False,1.4042209905375829,5.956425474650741
46563,0,False,1.053165742903187,4.4673191059880555
46564,0,False,0.8425325943225498,3.573855284790445
46565,0,False,0.7021104952687914,2.9782127373253706
46566,0,False,0.6018089959446784,2.5527537748503177
